rent,rooms,bathrooms,sqft,address
"$560,000",2 beds,2 beds,"1,438","195 N Harbor Dr #904, Chicago, IL 60601"
"$599,900",4 beds,4 beds,"1,667","2327 W 19th St, Chicago, IL 60608"
"$381,800",11 beds,11 beds,927,"7910 S Greenwood Ave, Chicago, IL 60619"
"$220,000",1 bed,1 bed,"1,150","1000 E 53rd St Unit 519S, Chicago, IL 60615"
"$445,000",2 beds,2 beds,"1,275","888 S Michigan Ave #401, Chicago, IL 60605"
"$205,000",1 bed,1 bed,—,"20 E Goethe St #403, Chicago, IL 60610"
"$1,399,000",6 beds,6 beds,"2,613","2500 N Mozart St, Chicago, IL 60647"
"$349,000",2 beds,2 beds,—,"3550 N Lake Shore Dr #1916, Chicago, IL 60657"
"$200,000",3 beds,3 beds,"3,049","9624 S Wallace St, Chicago, IL 60628"
"$269,900",1 bed,1 bed,—,"2800 N Lake Shore Dr #3411, Chicago, IL 60657"
"$1,024,900",5 beds,5 beds,—,"3753 N Albany Ave, Chicago, IL 60618"
"$390,000",2 beds,2 beds,675,"1111 S Wabash Ave #2501, Chicago, IL 60605"
"$285,000",1 bed,1 bed,—,"1515 S Prairie Ave #1004, Chicago, IL 60605"
"$25,000",— beds,— beds,—,"200 W Grand Ave Unit P93, Chicago, IL 60654"
"$575,000",3 beds,3 beds,"1,573","3051 W Armitage Ave Unit 3W, Chicago, IL 60647"
"$540,000",4 beds,4 beds,"1,817","5750 S Merrimac Ave, Chicago, IL 60638"
"$599,000",4 beds,4 beds,"4,356","2106 N Whipple St, Chicago, IL 60647"
"$1,249,000",2 beds,2 beds,"1,200","474 N Lake Shore Dr #6003, Chicago, IL 60611"
"$319,000",1 bed,1 bed,"3,484","1850 N Clark St #2202, Chicago, IL 60614"
"$3,095,000",7 beds,7 beds,"2,005","2309 N Geneva Ter, Chicago, IL 60614"
"$70,000",3 beds,3 beds,800,"617 W 129th Pl, Chicago, IL 60628"
"$429,999",6 beds,6 beds,"8,000","7408 S Emerald Ave, Chicago, IL 60621"
"$169,900",1 bed,1 bed,"2,574","2809 W Washington Blvd #101, Chicago, IL 60612"
"$339,000",3 beds,3 beds,"1,083","2057 W Fargo Ave #1, Chicago, IL 60645"
"$339,900",8 beds,8 beds,"9,247","5323 S Emerald Ave, Chicago, IL 60609"
"$359,000",2 beds,2 beds,—,"4250 N Marine Dr #1501, Chicago, IL 60613"
"$499,900",2 beds,2 beds,"5,662","233 E 13th St #601, Chicago, IL 60605"
"$169,000",1 bed,1 bed,—,"6301 N Sheridan Rd Unit 25D, Chicago, IL 60660"
"$424,000",1 bed,1 bed,—,"240 E Illinois St #2603, Chicago, IL 60611"
"$283,900",5 beds,5 beds,—,"1035 W 92nd Pl, Chicago, IL 60620"
"$213,000",0 beds,0 beds,"3,049","33 W Ontario St Unit 15D, Chicago, IL 60654"
"$649,000",6 beds,6 beds,"1,420","4451 N Tripp Ave, Chicago, IL 60630"
"$445,000",1 bed,1 bed,"1,290","60 E Monroe St #3905, Chicago, IL 60603"
"$775,000",2 beds,2 beds,—,"65 E Monroe St #4206, Chicago, IL 60603"
"$25,000",— beds,— beds,—,"408 E 107th St, Chicago, IL 60628"
"$25,000",— beds,— beds,"1,986","8537 S Yates Blvd, Chicago, IL 60617"
"$20,000",— beds,— beds,"3,750","4008 W Grenshaw St, Chicago, IL 60624"
"$200,000",— beds,— beds,600,"2416 N Kenton Ave, Chicago, IL 60639"
"$200,000",— beds,— beds,"3,005","2414 N Kenton Ave, Chicago, IL 60639"
"$159,000",— beds,— beds,"3,271","7125 W 74th St, Chicago, IL 60638"
"$119,999",— beds,— beds,—,"3423 W 38th St, Chicago, IL 60632"
"$20,000",— beds,— beds,"1,430","11353 S Forest Ave, Chicago, IL 60628"
"$415,000",— beds,— beds,"3,000","2434 N Saint Louis Ave, Chicago, IL 60647"
"$25,000",— beds,— beds,—,"200 W Grand Ave Unit P93, Chicago, IL 60654"
"$575,000",3 beds,3 beds,"1,573","3051 W Armitage Ave Unit 3W, Chicago, IL 60647"
"$540,000",4 beds,4 beds,"1,817","5750 S Merrimac Ave, Chicago, IL 60638"
"$599,000",4 beds,4 beds,"4,356","2106 N Whipple St, Chicago, IL 60647"
"$1,249,000",2 beds,2 beds,"1,200","474 N Lake Shore Dr #6003, Chicago, IL 60611"
"$319,000",1 bed,1 bed,"3,484","1850 N Clark St #2202, Chicago, IL 60614"
"$3,095,000",7 beds,7 beds,"2,005","2309 N Geneva Ter, Chicago, IL 60614"
"$70,000",3 beds,3 beds,800,"617 W 129th Pl, Chicago, IL 60628"
"$429,999",6 beds,6 beds,"8,000","7408 S Emerald Ave, Chicago, IL 60621"
"$169,900",1 bed,1 bed,"2,574","2809 W Washington Blvd #101, Chicago, IL 60612"
"$339,000",3 beds,3 beds,"1,083","2057 W Fargo Ave #1, Chicago, IL 60645"
"$339,900",8 beds,8 beds,"9,247","5323 S Emerald Ave, Chicago, IL 60609"
"$359,000",2 beds,2 beds,—,"4250 N Marine Dr #1501, Chicago, IL 60613"
"$499,900",2 beds,2 beds,"5,662","233 E 13th St #601, Chicago, IL 60605"
"$169,000",1 bed,1 bed,—,"6301 N Sheridan Rd Unit 25D, Chicago, IL 60660"
"$424,000",1 bed,1 bed,—,"240 E Illinois St #2603, Chicago, IL 60611"
"$283,900",5 beds,5 beds,—,"1035 W 92nd Pl, Chicago, IL 60620"
"$213,000",0 beds,0 beds,"3,049","33 W Ontario St Unit 15D, Chicago, IL 60654"
"$649,000",6 beds,6 beds,"1,420","4451 N Tripp Ave, Chicago, IL 60630"
"$445,000",1 bed,1 bed,"1,290","60 E Monroe St #3905, Chicago, IL 60603"
"$775,000",2 beds,2 beds,—,"65 E Monroe St #4206, Chicago, IL 60603"
"$25,000",— beds,— beds,—,"408 E 107th St, Chicago, IL 60628"
"$25,000",— beds,— beds,"1,986","8537 S Yates Blvd, Chicago, IL 60617"
"$20,000",— beds,— beds,"3,750","4008 W Grenshaw St, Chicago, IL 60624"
"$200,000",— beds,— beds,600,"2416 N Kenton Ave, Chicago, IL 60639"
"$200,000",— beds,— beds,"3,005","2414 N Kenton Ave, Chicago, IL 60639"
"$159,000",— beds,— beds,"3,271","7125 W 74th St, Chicago, IL 60638"
"$119,999",— beds,— beds,—,"3423 W 38th St, Chicago, IL 60632"
"$20,000",— beds,— beds,"1,430","11353 S Forest Ave, Chicago, IL 60628"
"$415,000",— beds,— beds,"3,000","2434 N Saint Louis Ave, Chicago, IL 60647"
"$25,000",— beds,— beds,—,"200 W Grand Ave Unit P93, Chicago, IL 60654"
"$575,000",3 beds,3 beds,"1,573","3051 W Armitage Ave Unit 3W, Chicago, IL 60647"
"$540,000",4 beds,4 beds,"1,817","5750 S Merrimac Ave, Chicago, IL 60638"
"$599,000",4 beds,4 beds,"4,356","2106 N Whipple St, Chicago, IL 60647"
"$1,249,000",2 beds,2 beds,"1,200","474 N Lake Shore Dr #6003, Chicago, IL 60611"
"$319,000",1 bed,1 bed,"3,484","1850 N Clark St #2202, Chicago, IL 60614"
"$3,095,000",7 beds,7 beds,"2,005","2309 N Geneva Ter, Chicago, IL 60614"
"$70,000",3 beds,3 beds,800,"617 W 129th Pl, Chicago, IL 60628"
"$429,999",6 beds,6 beds,"8,000","7408 S Emerald Ave, Chicago, IL 60621"
"$169,900",1 bed,1 bed,"2,574","2809 W Washington Blvd #101, Chicago, IL 60612"
"$339,000",3 beds,3 beds,"1,083","2057 W Fargo Ave #1, Chicago, IL 60645"
"$339,900",8 beds,8 beds,"9,247","5323 S Emerald Ave, Chicago, IL 60609"
"$359,000",2 beds,2 beds,—,"4250 N Marine Dr #1501, Chicago, IL 60613"
"$499,900",2 beds,2 beds,"5,662","233 E 13th St #601, Chicago, IL 60605"
"$169,000",1 bed,1 bed,—,"6301 N Sheridan Rd Unit 25D, Chicago, IL 60660"
"$424,000",1 bed,1 bed,—,"240 E Illinois St #2603, Chicago, IL 60611"
"$283,900",5 beds,5 beds,—,"1035 W 92nd Pl, Chicago, IL 60620"
"$213,000",0 beds,0 beds,"3,049","33 W Ontario St Unit 15D, Chicago, IL 60654"
"$649,000",6 beds,6 beds,"1,420","4451 N Tripp Ave, Chicago, IL 60630"
"$445,000",1 bed,1 bed,"1,290","60 E Monroe St #3905, Chicago, IL 60603"
"$775,000",2 beds,2 beds,—,"65 E Monroe St #4206, Chicago, IL 60603"
"$25,000",— beds,— beds,—,"408 E 107th St, Chicago, IL 60628"
"$25,000",— beds,— beds,"1,986","8537 S Yates Blvd, Chicago, IL 60617"
"$20,000",— beds,— beds,"3,750","4008 W Grenshaw St, Chicago, IL 60624"
"$200,000",— beds,— beds,600,"2416 N Kenton Ave, Chicago, IL 60639"
"$200,000",— beds,— beds,"3,005","2414 N Kenton Ave, Chicago, IL 60639"
"$159,000",— beds,— beds,"3,271","7125 W 74th St, Chicago, IL 60638"
"$119,999",— beds,— beds,—,"3423 W 38th St, Chicago, IL 60632"
"$20,000",— beds,— beds,"1,430","11353 S Forest Ave, Chicago, IL 60628"
"$415,000",— beds,— beds,"3,000","2434 N Saint Louis Ave, Chicago, IL 60647"
"$180,000",3 beds,3 beds,"1,200","13726 Repa Ln, Houston, TX 77014"
"$359,999",6 beds,6 beds,"4,800","9415 Limestone Ranch Ln, Richmond, TX 77407"
"$249,999",4 beds,4 beds,"3,014","8934 Delilah St, Houston, TX 77033"
"$399,000",4 beds,4 beds,"7,850","24715 Nautical Mile Ln, Katy, TX 77494"
"$515,000",4 beds,4 beds,"1,246","2211 Purple Plum Ln, Houston, TX 77062"
"$275,000",2 beds,2 beds,"6,435","1711 Old Spanish Trl #433, Houston, TX 77054"
"$327,500",2 beds,2 beds,"2,934","1704 Aden Mist Dr, Houston, TX 77003"
"$557,000",3 beds,3 beds,"6,781","803 Vincent St, Houston, TX 77009"
"$337,000",3 beds,3 beds,"2,952","6729 Tournament Dr, Houston, TX 77069"
"$425,000",3 beds,3 beds,"9,528","620 Kelley St, Houston, TX 77009"
"$1,125,000",4 beds,4 beds,"1,224","1545 Cortlandt St, Houston, TX 77008"
"$389,900",3 beds,3 beds,"1,610","10402 Indian Paintbrush Ln, Houston, TX 77095"
"$319,900",5 beds,5 beds,"1,727","14843 Estrellita Dr, Houston, TX 77060"
"$255,000",3 beds,3 beds,"1,310","5935 Santa Bernadetta, Houston, TX 77017"
"$119,900",2 beds,2 beds,"5,000","250 El Dorado Blvd #129, Houston, TX 77598"
"$99,990",2 beds,2 beds,"2,159","9538 Pagewood Ln #9583, Houston, TX 77063"
"$459,000",4 beds,4 beds,"3,500","7310 Ridge Oak Dr, Houston, TX 77088"
"$439,900",3 beds,3 beds,"1,333","3905 Pinemont Dr Unit F, Houston, TX 77018"
"$284,990",3 beds,3 beds,"5,300","9611 Berlin Ct, Houston, TX 77070"
"$579,500",4 beds,4 beds,"2,321","814 Silvergate Dr, Houston, TX 77079"
"$275,000",4 beds,4 beds,"6,600","3019 Jewel Ann St, Houston, TX 77082"
"$399,500",4 beds,4 beds,"2,346","3419 Shadowchase Dr, Houston, TX 77082"
"$239,500",3 beds,3 beds,"9,060","11603 Leader St, Houston, TX 77072"
"$219,500",3 beds,3 beds,"2,096","11022 Concho St, Houston, TX 77072"
"$599,000",3 beds,3 beds,"6,825","1845 Wycliffe Dr, Houston, TX 77043"
"$228,500",3 beds,3 beds,"1,631","11127 Triola Ln, Houston, TX 77072"
"$674,900",3 beds,3 beds,"3,045","807 Graceland St, Houston, TX 77009"
"$575,000",4 beds,4 beds,"1,001","7511 Lone Star Junction St, Richmond, TX 77406"
"$145,000",2 beds,2 beds,"1,224","12300 Brookglade Cir #103, Houston, TX 77099"
"$539,000",5 beds,5 beds,"2,870","13027 Breezy Meadow Ln, Houston, TX 77044"
"$324,900",3 beds,3 beds,"8,056","9203 Fordshire Dr, Houston, TX 77025"
"$245,000",3 beds,3 beds,"1,907","9322 Belleclaire Ln, Houston, TX 77044"
"$204,900",3 beds,3 beds,"1,631","9215 Vinearbor St, Houston, TX 77033"
"$460,000",4 beds,4 beds,"9,512","4606 Vernon St BLANK Unit B, Houston, TX 77020"
"$460,000",4 beds,4 beds,"2,713","4606 Vernon St Unit A, Houston, TX 77020"
"$270,000",3 beds,3 beds,"9,331","11918 Estes Park Lane Ln, Houston, TX 77067"
"$519,900",4 beds,4 beds,"1,931","5519 W Bellfort Ave, Houston, TX 77035"
"$434,800",4 beds,4 beds,"4,527","13823 Lake Livingston Dr, Houston, TX 77044"
"$335,000",3 beds,3 beds,"2,532","8831 Cedar Mound Ln, Houston, TX 77083"
"$375,000",2 beds,2 beds,"7,188","125 E 2nd St, Houston, TX 77007"
"$449,895",4 beds,4 beds,"2,309","7725 Green Lawn Dr, Houston, TX 77088"
"$230,000",2 beds,2 beds,"6,370","2016 Main St #704, Houston, TX 77002"
"$409,990",4 beds,4 beds,"1,169","906 Heathgate Dr, Houston, TX 77062"
"$325,000",3 beds,3 beds,"2,447","5922 Ettrick Dr, Houston, TX 77035"
"$249,900",3 beds,3 beds,"7,540","10307 Bushy Creek Dr, Houston, TX 77070"
"$287,900",4 beds,4 beds,"1,704","19906 Ruby Red Ct, Houston, TX 77073"
"$256,500",3 beds,3 beds,"8,520","15802 Acorn Clearing Path Path, Houston, TX 77044"
"$1,997,500",4 beds,4 beds,"1,291","2220 Woodhead St, Houston, TX 77019"
"$399,000",4 beds,4 beds,"4,620","5612 Savyon Dr, Houston, TX 77091"
"$545,000",4 beds,4 beds,"2,255","5803 Queensloch Dr, Houston, TX 77096"
"$1,997,500",4 beds,4 beds,"5,673","1655 Marshall St, Houston, TX 77006"
"$399,000",3 beds,3 beds,"1,610","6026 Willowbend Blvd, Houston, TX 77096"
"$1,994,500",4 beds,4 beds,"5,174","1815 Marshall St, Houston, TX 77098"
"$525,000",3 beds,3 beds,"4,679","3002 Markle Dr, Houston, TX 77003"
"$574,900",3 beds,3 beds,"5,000","4909 Park Dr, Houston, TX 77023"
"$264,999",1 bed,1 bed,"2,300","300 St Joseph Pkwy #317, Houston, TX 77002"
"$259,900",3 beds,3 beds,"2,311","3022 Greenbriar Springs Dr, Houston, TX 77073"
"$409,500",4 beds,4 beds,"2,225","8815 Hollister Square Ct, Houston, TX 77080"
"$249,532",3 beds,3 beds,"9,321","10307 Elk Point Ln, Houston, TX 77064"
"$450,000",4 beds,4 beds,"4,614","13822 Viewfield Ct, Houston, TX 77059"
"$469,900",4 beds,4 beds,"6,300","4606 Omeara Dr Dr, Houston, TX 77035"
"$352,500",3 beds,3 beds,"2,150","12800 Briar Forest Dr #40, Houston, TX 77077"
"$499,000",8 beds,8 beds,0.24,"13932 Greenville St, Houston, TX 77015"
"$499,700",3 beds,3 beds,"4,678","10419 Westray St, Houston, TX 77043"
"$545,000",3 beds,3 beds,"6,250","1913 Hoskins Dr Unit B, Houston, TX 77080"
"$547,000",4 beds,4 beds,"2,073","12315 S Shadow Cove Dr, Houston, TX 77082"
"$169,900",2 beds,2 beds,"1,895","7105 Lavender St, Houston, TX 77016"
"$245,000",4 beds,4 beds,"2,045","5415 Evergreen Canyon Rd, Houston, TX 77066"
"$319,000",4 beds,4 beds,"8,000","15203 Mission Oak Dr, Houston, TX 77083"
"$235,000",3 beds,3 beds,946,"12009 Poulson Dr, Houston, TX 77031"
"$1,649,000",4 beds,4 beds,"1,943","939 Redan St, Houston, TX 77009"
"$315,000",2 beds,2 beds,"6,954","3505 Sage Rd #1410, Houston, TX 77056"
"$250,000",3 beds,3 beds,"2,157","830 Grand Plains Dr, Houston, TX 77090"
"$474,999",3 beds,3 beds,"2,013","1627 Westside Gardens Ln, Houston, TX 77055"
"$1,189,500",3 beds,3 beds,"1,440","2617 Morrison St, Houston, TX 77009"
"$367,000",4 beds,4 beds,"6,300","5426 Casa Martin Dr, Katy, TX 77449"
"$194,900",2 beds,2 beds,"2,874","1535 Silverpines Rd, Houston, TX 77062"
"$529,900",6 beds,6 beds,"7,820","5222 Pershing St, Houston, TX 77033"
"$215,000",2 beds,2 beds,"2,721","2515 Bering Dr #1, Houston, TX 77057"
"$1,290,000",4 beds,4 beds,0.26,"221 W 23rd St, Houston, TX 77008"
"$374,000",3 beds,3 beds,"2,314","3001 Bolt St, Houston, TX 77051"
"$1,290,000",4 beds,4 beds,"8,792","219 W 23rd St, Houston, TX 77008"
"$334,900",2 beds,2 beds,"3,381","1120 Texas St Unit 6C, Houston, TX 77002"
"$250,000",3 beds,3 beds,"3,275","20606 Marilyn Ln, Spring, TX 77388"
"$270,000",3 beds,3 beds,"1,405","15839 Clayton Bend Dr, Houston, TX 77082"
"$798,000",4 beds,4 beds,"1,200","5031 Braesheather Dr, Houston, TX 77096"
"$637,200",3 beds,3 beds,0.45,"5304 Lambeth Riverside Dr, Houston, TX 77091"
"$120,000",3 beds,3 beds,"1,782","9515 Windswept Ln #9515, Houston, TX 77063"
"$340,000",4 beds,4 beds,"7,530","11507 Sagelink Dr, Houston, TX 77089"
"$1,875,000",5 beds,5 beds,"4,401","2224 Potomac Dr, Houston, TX 77057"
"$365,000",2 beds,2 beds,0.33,"3505 Sage Road Rd #2309, Houston, TX 77056"
"$344,900",4 beds,4 beds,"2,700","16114 Kintyre Point Rd, Houston, TX 77095"
"$365,000",3 beds,3 beds,"1,672","3123 Paul Quinn St, Houston, TX 77091"
"$339,000",4 beds,4 beds,"2,799","12711 Laurel Falls Ln, Houston, TX 77014"
"$245,000",3 beds,3 beds,"8,307","17171 Beaver Springs Dr, Houston, TX 77090"
"$304,900",3 beds,3 beds,"5,074","1558 W Tidwell Rd, Houston, TX 77091"
"$820,000",3 beds,3 beds,"5,390","1912 Brun St, Houston, TX 77019"
"$329,000",1 bed,1 bed,"1,422","5925 Almeda Rd #11704, Houston, TX 77004"
"$325,000",5 beds,5 beds,"2,622","13307 Lynnville Dr, Houston, TX 77065"
"$329,900",4 beds,4 beds,"6,464","7923 Devlin Dr, Humble, TX 77346"
"$140,000",2 beds,2 beds,"1,904","260 El Dorado Blvd #2011, Webster, TX 77598"
"$389,000",3 beds,3 beds,"2,348","14143 Hillvale Dr, Houston, TX 77077"
"$389,900",3 beds,3 beds,"2,453","5304 Donovan Gardens Ln, Houston, TX 77091"
"$399,900",3 beds,3 beds,"6,900","28618 Cabrera Hill Ln, Katy, TX 77494"
"$419,900",3 beds,3 beds,"1,908","1605 Halpern St, Houston, TX 77009"
"$353,000",3 beds,3 beds,"5,940","17007 Mariners Bay Dr, Houston, TX 77095"
"$370,000",4 beds,4 beds,"1,486","16415 Willingham Way, Houston, TX 77095"
"$239,950",4 beds,4 beds,"1,862","5958 Kenilwood Dr, Houston, TX 77033"
"$430,000",4 beds,4 beds,"3,531","14906 Timberlark Dr, Houston, TX 77070"
"$959,900",4 beds,4 beds,"2,500","1501 Crocker St, Houston, TX 77019"
"$499,999",3 beds,3 beds,846,"11119 Savannah Woods Ln, Houston, TX 77043"
"$1,099,000",3 beds,3 beds,"3,176","1610 Nevada St, Houston, TX 77006"
"$1,399,000",5 beds,5 beds,"8,104","1317 Shearn St, Houston, TX 77007"
"$229,900",3 beds,3 beds,"2,795","8026 Ethel St, Houston, TX 77028"
"$360,000",3 beds,3 beds,"8,586","5131 Cripple Creek Dr, Houston, TX 77017"
"$750,000",3 beds,3 beds,855,"6261 Olympia Dr, Houston, TX 77057"
"$385,000",4 beds,4 beds,"2,348","10002 Sagemark Dr, Houston, TX 77089"
"$270,000",4 beds,4 beds,"4,860","13823 Roman Ridge Ln, Houston, TX 77047"
"$1,395,000",3 beds,3 beds,"1,852","2336 Welch St, Houston, TX 77019"
"$599,000",3 beds,3 beds,"1,983","11121 Savannah Woods Ln, Houston, TX 77043"
"$199,900",3 beds,3 beds,"1,036","4814 Maggie St, Houston, TX 77033"
"$238,900",4 beds,4 beds,"5,720","1122 Verde Trails Dr, Houston, TX 77073"
"$355,000",4 beds,4 beds,"1,642","5411 Old Lodge Dr, Houston, TX 77066"
"$165,000",3 beds,3 beds,"3,045","15307 Bedford Glen Dr, Channelview, TX 77530"
"$695,000",5 beds,5 beds,"2,530","4807 Pine Heather Ct, Pasadena, TX 77059"
"$299,990",3 beds,3 beds,"9,165","9 Wellford St Unit C, Houston, TX 77022"
"$259,900",3 beds,3 beds,"1,099","8510 Village Hollow Ln, Houston, TX 77072"
"$723,000",5 beds,5 beds,"5,663","7303 & 7307 Charpiot Ln W, Humble, TX 77396"
"$309,990",3 beds,3 beds,"3,781","11 Wellford St Unit D, Houston, TX 77022"
"$275,000",4 beds,4 beds,0.30,"218 Hoffman St, Houston, TX 77020"
"$400,000",3 beds,3 beds,"1,556","2020 Mcgowen St #17, Houston, TX 77004"
"$510,000",4 beds,4 beds,"1,890","15111 Greenleaf Ln, Houston, TX 77062"
"$379,990",3 beds,3 beds,"1,326","3542 Amos St Unit C, Houston, TX 77021"
"$275,000",4 beds,4 beds,"4,400","11706 Redbud Creek Ln, Houston, TX 77038"
"$289,000",4 beds,4 beds,"2,798","6823 Vickie Springs Ln, Houston, TX 77086"
"$600,000",0 beds,0 beds,1.00,"1518 & 1520 Ridgewood St, Houston, TX 77006"
"$265,000",3 beds,3 beds,"1,553","8610 Sandra St, Houston, TX 77016"
"$405,000",6 beds,6 beds,"1,870","6019 Haight St, Houston, TX 77028"
"$443,000",4 beds,4 beds,"1,610","13602 Berry Springs Dr, Houston, TX 77070"
"$254,990",4 beds,4 beds,"6,250","6110 Westover St, Houston, TX 77033"
"$400,000",3 beds,3 beds,"2,267","4701 Waycross Dr, Houston, TX 77035"
"$399,500",3 beds,3 beds,"1,438","1720 Shannon Valley Dr, Houston, TX 77077"
"$135,000",2 beds,2 beds,"3,290","17607 Red Oak Dr #7607, Houston, TX 77090"
"$425,000",4 beds,4 beds,"9,518","7435 River Garden Dr, Houston, TX 77095"
"$267,000",3 beds,3 beds,"1,713","12803 Maxfield Dr, Houston, TX 77082"
"$510,000",5 beds,5 beds,"2,500","8006 Clearwater Xing, Humble, TX 77396"
"$250,000",3 beds,3 beds,"1,465","6524 Gillock Meadow Ln, Houston, TX 77048"
"$289,000",2 beds,2 beds,"7,601","4109 Lymbar Dr, Houston, TX 77025"
"$399,000",3 beds,3 beds,"1,919","1502 S Kirkwood Rd, Houston, TX 77077"
"$449,900",3 beds,3 beds,"5,250","98 Drew St Unit D, Houston, TX 77006"
"$440,000",4 beds,4 beds,"2,525","14219 Sandhill Crane Dr, Houston, TX 77044"
"$424,000",3 beds,3 beds,"5,000","11113 Olympia Dr, Houston, TX 77042"
"$424,000",3 beds,3 beds,"1,398","11111 Olympia Dr, Houston, TX 77042"
"$185,000",1 bed,1 bed,"7,440","895 Wax Myrtle Ln, Houston, TX 77079"
"$295,000",3 beds,3 beds,"3,192","3732 Amos St, Houston, TX 77021"
"$625,000",4 beds,4 beds,"8,712","19027 Match Play Dr, Humble, TX 77346"
"$465,000",3 beds,3 beds,"3,068","1633 W 23rd St, Houston, TX 77008"
"$295,000",3 beds,3 beds,"9,373","3730 Amos St, Houston, TX 77021"
"$295,000",3 beds,3 beds,"1,870","3824 Amos St, Houston, TX 77021"
"$295,000",3 beds,3 beds,"7,912","3822 Amos St, Houston, TX 77021"
"$234,500",3 beds,3 beds,"1,266","7909 Woodlyn Rd, Houston, TX 77028"
"$295,000",3 beds,3 beds,"7,800","3818 Mount Pleasant St, Houston, TX 77021"
"$405,000",3 beds,3 beds,"1,590","4526 Curtin Park Ct, Houston, TX 77018"
"$319,450",3 beds,3 beds,"1,839","454 Buoy Rd, Houston, TX 77598"
"$3,500,000",5 beds,5 beds,"1,407","5528 Holly Springs Dr, Houston, TX 77056"
"$749,900",4 beds,4 beds,"1,616","2350 Central Park Cir, Houston, TX 77059"
"$315,000",3 beds,3 beds,"8,140","21322 S Mission Falls Dr, Houston, TX 77095"
"$1,620,000",3 beds,3 beds,"6,951","1107 Berthea St Unit B, Houston, TX 77006"
"$499,999",3 beds,3 beds,0.41,"2412 Commerce St, Houston, TX 77003"
"$569,877",3 beds,3 beds,"4,655","5334 Kansas St, Houston, TX 77007"
"$415,000",3 beds,3 beds,0.30,"3406 Tuam St Unit B, Houston, TX 77004"
"$249,999",4 beds,4 beds,"1,830","6159 El Granate Dr, Houston, TX 77048"
"$189,900",4 beds,4 beds,"5,250","8514 Spaulding St, Houston, TX 77016"
"$545,000",5 beds,5 beds,"3,664","4414 N Pine Brook Way, Houston, TX 77059"
"$565,000",2 beds,2 beds,"2,375","49 Briar Hollow Ln #406, Houston, TX 77027"
"$525,000",2 beds,2 beds,"2,273","5600 Community Dr, Houston, TX 77005"
"$950,000",3 beds,3 beds,"1,600","4801 North Main St, Houston, TX 77009"
"$525,000",3 beds,3 beds,"1,519","10111 Valley Forge Dr #24, Houston, TX 77042"
"$630,000",3 beds,3 beds,"5,350","817 Lester St, Houston, TX 77007"
"$434,999",3 beds,3 beds,"1,972","1514 Birdsall St Unit C, Houston, TX 77007"
"$239,000",3 beds,3 beds,"2,473","10136 Beekman Place Dr, Houston, TX 77043"
"$225,000",3 beds,3 beds,"2,080","11827 Burlingame Dr, Houston, TX 77099"
"$254,000",3 beds,3 beds,"5,215","22535 Market Square Ln, Katy, TX 77449"
"$430,000",3 beds,3 beds,"1,500","10143 Hanka Dr, Houston, TX 77043"
"$299,900",3 beds,3 beds,"8,400","5617 Teague Rd, Houston, TX 77041"
"$220,000",3 beds,3 beds,"3,703","15418 Imperial Valley Dr, Houston, TX 77060"
"$68,500",2 beds,2 beds,"9,675","2826 S Bartell Dr S #26, Houston, TX 77054"
"$150,000",2 beds,2 beds,"1,753","7726 Joplin St, Houston, TX 77087"
"$315,000",3 beds,3 beds,900,"9923 Sageaspen Ln, Houston, TX 77089"
"$390,000",3 beds,3 beds,"5,800","1412 Cleveland St Unit C, Houston, TX 77019"
"$190,000",3 beds,3 beds,"1,302","9371 Pagewood Ln, Houston, TX 77063"
"$324,000",3 beds,3 beds,0.28,"7904 Sealey St, Houston, TX 77088"
"$198,000",2 beds,2 beds,"2,941","13760 Hollowgreen Dr #506, Houston, TX 77082"
"$475,000",3 beds,3 beds,"2,457","716 Hartman St, Houston, TX 77007"
"$285,000",4 beds,4 beds,"2,444","14235 Royal Hill Dr, Houston, TX 77083"
"$389,900",4 beds,4 beds,"1,575","12103 Oakcroft Dr, Houston, TX 77070"
"$315,000",3 beds,3 beds,"1,946","2414 Manila Ln, Houston, TX 77043"
"$149,000",1 bed,1 bed,"1,450","3525 Sage Rd #512, Houston, TX 77056"
"$325,000",4 beds,4 beds,"1,760","2142 River Village Dr, Kingwood, TX 77339"
"$340,000",4 beds,4 beds,"1,703","10610 Lauren Veronica Dr, Houston, TX 77034"
"$1,197,000",5 beds,5 beds,"5,120","5 Club Oak Ct, Houston, TX 77339"
"$399,990",3 beds,3 beds,0.36,"5520 Terry St, Houston, TX 77009"
"$680,000",4 beds,4 beds,"1,745","15410 Conifer Bay Ct, Houston, TX 77059"
"$210,000",3 beds,3 beds,"2,500","6723 Corpus Christi, Houston, TX 77020"
"$80,000",1 bed,1 bed,"3,508","12660 Ashford Point Dr #714, Houston, TX 77082"
"$229,000",2 beds,2 beds,0.23,"10303 Eddystone Dr, Houston, TX 77043"
"$289,900",3 beds,3 beds,"1,080","5608 Kittridge St, Houston, TX 77028"
"$239,900",4 beds,4 beds,"5,000","15618 Liberty Vista Trl, Houston, TX 77049"
"$219,900",3 beds,3 beds,624,"4011 Erby St, Houston, TX 77087"
"$569,000",3 beds,3 beds,"1,213","13931 Carriage Walk Ln, Houston, TX 77077"
"$1,220,000",4 beds,4 beds,"9,375","12523 Mossycup Dr, Houston, TX 77024"
"$285,000",4 beds,4 beds,"1,714","7218 Triola Ln, Houston, TX 77074"
"$329,000",4 beds,4 beds,"2,383","8309 Eastover St, Houston, TX 77028"
